Species,Nest Internal Diameter (mm),Nest Inner Depth (mm),Nest External Diameter (mm),Nest External Heigh (mm),Nest Height Above Ground (cm),Egg Length (mm),Egg Width (mm),Egg Weight (g),Clutch Size,Source
Conopophaga lineata,58,29,99,58,54,22.8,17.2,3.6,2 (1),Bodrati & Di Sallo (2020)
Conopophaga lineata,,,,,,22.9,17,3.5,,Bodrati & Di Sallo (2020)
Conopophaga lineata,65,35,150,,9,21.2,16.4,3,2 (1),Bodrati & Di Sallo (2020)
Conopophaga lineata,,,,,,22.3,16.5,3.1,,Bodrati & Di Sallo (2020)
Conopophaga castaneiceps,50,,,,65,,,,2 (1),Hilty (1975)
Conopophaga castaneiceps,70.6,4.95,114.45,131,83,,,,,Lizarazo & Londoño (2022)
Conopophaga castaneiceps,68.25,3.9,122.15,51.2,50,,,,,Lizarazo & Londoño (2022)
Conopophaga castaneiceps,69.6,45.9,91.75,70.9,100,,,,,Lizarazo & Londoño (2022)
Conopophaga castaneiceps,,,,,,22.5,17.9,3.9,2 (3),Lizarazo & Londoño (2022)
Conopophaga ardesiaca,75,60,90,85,110,22.9,16.6,,2 (1),Sánchez & Aponte (2006)
Conopophaga ardesiaca,,,,,,21.3,15.4,,,Sánchez & Aponte (2006)
